"modifier_code","name","kana","category","valid_from","valid_to","change_type","raw_record"
"","１Ｄ型","１Ｄガタ","0","","27002207","0","IjAiLCJaIiwiODIwOCIsIiIsIiIsIjMiLCLvvJHvvKTlnosiLCIiLCI0Iiwi77yR77yk44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIyMDciLCIxNTFNIiwiQTgwMDAwMDAi"
"","１Ｅ型","１Ｅガタ","0","","27002208","0","IjAiLCJaIiwiODIwOSIsIiIsIiIsIjMiLCLvvJHvvKXlnosiLCIiLCI0Iiwi77yR77yl44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIyMDgiLCI3ODQ0IiwiQTgwMDAwMDAi"
"","１Ｆ型","１Ｆガタ","0","","27002209","0","IjAiLCJaIiwiODIxMCIsIiIsIiIsIjMiLCLvvJHvvKblnosiLCIiLCI0Iiwi77yR77ym44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIyMDkiLCI1NzNWIiwiQTgwMDAwMDAi"
"","１Ｇ型","１Ｇガタ","0","","27002210","0","IjAiLCJaIiwiODIxMSIsIiIsIiIsIjMiLCLvvJHvvKflnosiLCIiLCI0Iiwi77yR77yn44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIyMTAiLCIxSktUIiwiQTgwMDAwMDAi"
"","１Ｈ型","１Ｈガタ","0","","27002211","0","IjAiLCJaIiwiODIxMiIsIiIsIiIsIjMiLCLvvJHvvKjlnosiLCIiLCI0Iiwi77yR77yo44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIyMTEiLCI4NFQwIiwiQTgwMDAwMDAi"
"","・１カ月","１カゲツ","0","","27001929","0","IjAiLCJaIiwiODEyNCIsIiIsIiIsIjQiLCLjg7vvvJHjgqvmnIgiLCIiLCI0Iiwi77yR44Kr44Ky44OEIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE5MjkiLCI0NDBGIiwiQTgwMDAwMDAi"
"","１型","１ガタ","0","","27000006","0","IjAiLCJaIiwiODA0OSIsIiIsIiIsIjIiLCLvvJHlnosiLCIiLCIzIiwi77yR44Ks44K/IiwiIiwiMCIsIjAiLCIiLCIiLCI5OTk5OTk5OSIsIjI3MDAwMDA2IiwiNjAwMSIsIkE4MDAwMDAwIg=="
"","Ｉ期","１キ","0","20080601","27001858","0","IjAiLCJaIiwiODA3NCIsIiIsIiIsIjIiLCLvvKnmnJ8iLCIiLCIyIiwi77yR44KtIiwiIiwiMCIsIjAiLCIyMDA2MTAwMSIsIjIwMDgwNjAxIiwiOTk5OTk5OTkiLCIyNzAwMTg1OCIsIjY5QkQiLCJBODAwMDAwMCI="
"","・１週","１シュウ","0","","27001884","0","IjAiLCJaIiwiODA3OSIsIiIsIiIsIjMiLCLjg7vvvJHpgLEiLCIiLCI0Iiwi77yR44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE4ODQiLCI3NjU1IiwiQTgwMDAwMDAi"
"","１週","１シュウ","0","","27001801","0","IjAiLCJaIiwiNzI1MSIsIiIsIiIsIjIiLCLvvJHpgLEiLCIiLCI0Iiwi77yR44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE4MDEiLCIwRkE2IiwiQTcwMDAwMDAi"
